Station_id,timestamp,Exact_AQI,category_name,Range,Health_advisory
ST-AR-001,2026-02-01 00:00:00,59,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 01:00:00,59,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 02:00:00,59,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 03:00:00,59,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 04:00:00,59,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 05:00:00,58,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 06:00:00,57,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 07:00:00,57,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 08:00:00,56,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 09:00:00,55,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 10:00:00,54,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 11:00:00,54,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 12:00:00,53,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 13:00:00,53,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 14:00:00,52,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 15:00:00,55,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 16:00:00,58,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 17:00:00,55,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 18:00:00,50,Good,0-50,Minimal impact
ST-AR-001,2026-02-01 19:00:00,50,Good,0-50,Minimal impact
ST-AR-001,2026-02-01 20:00:00,51,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 21:00:00,51,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 22:00:00,52,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-01 23:00:00,51,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-02 00:00:00,51,Satisfactory,51-100,Minor breathing discomfort to sensitive people
ST-AR-001,2026-02-02 01:00:00,51,Satisfactory,51-100,Minor breathing discomfort to sensitive people
