Station_id,timestamp,PM2_5,PM10,CO,NO2
ST-AR-001,2026-02-01 00:00:00,15.8,17.6,203.0,11.9
ST-AR-001,2026-02-01 01:00:00,14.2,15.7,207.0,10.3
ST-AR-001,2026-02-01 02:00:00,12.9,14.2,212.0,9.0
ST-AR-001,2026-02-01 03:00:00,11.3,12.4,222.0,8.6
ST-AR-001,2026-02-01 04:00:00,10.5,11.7,233.0,8.6
ST-AR-001,2026-02-01 05:00:00,6.4,6.8,235.0,8.1
ST-AR-001,2026-02-01 06:00:00,6.8,7.1,216.0,6.0
ST-AR-001,2026-02-01 07:00:00,5.0,5.4,188.0,3.1
ST-AR-001,2026-02-01 08:00:00,4.9,5.8,172.0,0.9
ST-AR-001,2026-02-01 09:00:00,5.8,6.6,179.0,0.2
ST-AR-001,2026-02-01 10:00:00,5.9,6.7,198.0,0.2
ST-AR-001,2026-02-01 11:00:00,6.2,6.9,215.0,0.3
ST-AR-001,2026-02-01 12:00:00,6.7,7.4,224.0,0.1
ST-AR-001,2026-02-01 13:00:00,7.5,8.2,231.0,0.0
ST-AR-001,2026-02-01 14:00:00,8.3,9.1,235.0,0.5
ST-AR-001,2026-02-01 15:00:00,9.3,10.1,238.0,2.2
ST-AR-001,2026-02-01 16:00:00,10.9,11.8,238.0,4.5
ST-AR-001,2026-02-01 17:00:00,22.2,24.9,235.0,7.9
ST-AR-001,2026-02-01 18:00:00,24.4,27.4,226.0,9.8
ST-AR-001,2026-02-01 19:00:00,25.6,28.7,213.0,12.4
ST-AR-001,2026-02-01 20:00:00,26.8,30.0,205.0,14.2
ST-AR-001,2026-02-01 21:00:00,22.3,24.8,206.0,14.7
ST-AR-001,2026-02-01 22:00:00,17.8,19.4,212.0,14.4
ST-AR-001,2026-02-01 23:00:00,16.2,17.9,215.0,13.7
ST-AR-001,2026-02-02 00:00:00,14.2,15.6,213.0,12.3
ST-AR-001,2026-02-02 01:00:00,12.2,13.2,208.0,10.5
ST-AR-001,2026-02-02 02:00:00,11.8,13.0,206.0,9.1
ST-AR-001,2026-02-02 03:00:00,10.2,11.3,211.0,8.7
ST-AR-001,2026-02-02 04:00:00,10.0,11.3,220.0,8.6
